article_id,date,township,event_type,killed,injured,displaced,scope,notes,outlet,url
10,2026-09-06,Bilin,artillery,1,1,UNCLEAR,incident,"A 10-year-old child was killed and his mother, a woman in her 40s, was injured by junta artillery shelling",Independent Mon News Agency,https://www.bnionline.net/en/news/child-killed-woman-injured-junta-artillery-attack-mon-state-village
11,2026-09-04,Naypyitaw,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,"On September 4, during a meeting with officers... General Kyaw Swar Lin urged officers to avoid misconduct and uphold integrity",Than Lwin Times,https://www.bnionline.net/en/news/junta-deputy-commander-calls-integrity-reality-tells-different-story
12,2026-09-05,Lay Myint,airstrike,2,UNCLEAR,UNCLEAR,incident,Two displaced Rakhine civilians were killed,Narinjara,https://www.bnionline.net/en/news/four-rakhine-idps-killed-ayeyarwady-region-airstrikes-within-month
12,2026-08-05,Tharbaung,airstrike,2,UNCLEAR,UNCLEAR,incident,killing two displaced brothers,Narinjara,https://www.bnionline.net/en/news/four-rakhine-idps-killed-ayeyarwady-region-airstrikes-within-month
13,2026-09-07,UNCLEAR,other,55,UNCLEAR,UNCLEAR,period_summary,at least 55 women—including six minors—were killed in August 2026 alone,Development Media Group,https://www.bnionline.net/en/news/women-group-calls-urgent-concrete-action-end-myanmar-junta-violence-against-civilians
14,2026-08-28,Falam,other,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,the junta managed to retake Falam but still struggles to secure it,Network Media Group,https://www.bnionline.net/en/news/myanmar-junta-struggles-establish-control-chin-state-despite-retaking-several-towns
14,2026-08-28,Tonzang,other,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,the junta managed to retake Tonzang but still struggles to secure it,Network Media Group,https://www.bnionline.net/en/news/myanmar-junta-struggles-establish-control-chin-state-despite-retaking-several-towns
14,2026-08-28,Thantlang,other,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,the junta has reclaimed most parts of Thantlang,Network Media Group,https://www.bnionline.net/en/news/myanmar-junta-struggles-establish-control-chin-state-despite-retaking-several-towns
15,2026-09-07,Tamu,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Local PDF units have organized protests at active construction sites near Myothit town in upper Tamu Township,Mizzima,https://www.bnionline.net/en/news/indo-myanmar-border-fencing-reaches-55-km-full-completion-targeted-2028
15,2026-09-07,Tamu,ground_clash,10,UNCLEAR,UNCLEAR,incident,"Indian military personnel crossed into Myanmar, raided a Tamu District People’s Defense Team camp, and killed 10 members",Mizzima,https://www.bnionline.net/en/news/indo-myanmar-border-fencing-reaches-55-km-full-completion-targeted-2028
16,2026-09-06,Paletwa,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Global Khumi Organization condemned the policy of imposing Arakan-language curriculum in Paletwa,Chin World,https://www.bnionline.net/en/news/khumi-chin-community-opposes-aas-arakan-language-curriculum-paletwa
17,2026-09-08,Taunggyi,other,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,Fraudsters in southern Shan State's Taunggyi Township are targeting travelers to collect NIC data,Shan Herald Agency for News,https://www.bnionline.net/en/news/scammers-target-myanmar-travelers-shan-state-fuel-telecom-fraud-operations
18,2026-09-05,Bhamo,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,A strategic dual-use bridge in Kachin State’s Bhamo Township was damaged in a military junta airstrike on September 5,Kachin News Group,https://www.bnionline.net/en/news/key-myanmar-bridge-damaged-junta-airstrike-amid-heavy-fighting-near-bhamo
18,2026-09-05,Bhamo,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,"15-vessel junta flotilla traveling upstream came under intense ambush, leading to the capture of nearly 200 prisoners of war",Kachin News Group,https://www.bnionline.net/en/news/key-myanmar-bridge-damaged-junta-airstrike-amid-heavy-fighting-near-bhamo
19,2026-09-04,Ponnagyun,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,military offensive in southern Ponnagyun Township... ground to a halt after junta forces suffered heavy casualties... Many conscripts were killed,Narinjara,https://www.bnionline.net/en/news/military-offensive-southern-ponnagyun-halts-following-heavy-casualties
20,2026-09-04,Ponnagyun,artillery,UNCLEAR,1,UNCLEAR,incident,an exploding shell injured a woman on September 4... residents... have begun fleeing,Development Media Group,https://www.bnionline.net/en/news/thousands-flee-ponnagyun-and-rathedaung-fighting-escalates-near-sittwe
20,2026-09-07,Rathedaung,displacement,UNCLEAR,UNCLEAR,UNCLEAR,incident,hundreds of residents from Rathedaung Township... are fleeing due to nearby clashes,Development Media Group,https://www.bnionline.net/en/news/thousands-flee-ponnagyun-and-rathedaung-fighting-escalates-near-sittwe
21,2026-09-01,Chaung-U,ground_clash,2,UNCLEAR,UNCLEAR,incident,"junta troops fired indiscriminately, killing two local civilians.",Mizzima,https://www.bnionline.net/en/news/retreating-junta-column-hits-landmines-chaung-u-after-weeklong-offensive
21,2026-09-03,Chaung-U,other,3,UNCLEAR,UNCLEAR,incident,fighters discovered the decomposing bodies of three residents,Mizzima,https://www.bnionline.net/en/news/retreating-junta-column-hits-landmines-chaung-u-after-weeklong-offensive
21,2026-09-03,Chaung-U,displacement,UNCLEAR,UNCLEAR,UNCLEAR,incident,forced residents from roughly 10 villages across Chaung-U Township to abandon their homes,Mizzima,https://www.bnionline.net/en/news/retreating-junta-column-hits-landmines-chaung-u-after-weeklong-offensive
22,2026-09-04,Sittwe,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,Clashes erupted between Myanmar's military junta and the Arakan Army (AA) in Sittwe Township,Development Media Group,https://www.bnionline.net/en/news/fighting-resumes-sittwe-junta-and-arakan-army-exchange-heavy-artillery-and-drone-strikes
22,2026-09-04,Ponnagyun,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,active fighting broke out along the border connecting Sittwe and Ponnagyun townships,Development Media Group,https://www.bnionline.net/en/news/fighting-resumes-sittwe-junta-and-arakan-army-exchange-heavy-artillery-and-drone-strikes
22,2026-09-03,Rathedaung,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,"targeted seven villages across Ponnagyun, Sittwe, and Rathedaung townships",Development Media Group,https://www.bnionline.net/en/news/fighting-resumes-sittwe-junta-and-arakan-army-exchange-heavy-artillery-and-drone-strikes
22,2026-09-03,Gwa,artillery,UNCLEAR,UNCLEAR,UNCLEAR,incident,junta warships shelled coastal areas in Gwa and Thandwe townships,Development Media Group,https://www.bnionline.net/en/news/fighting-resumes-sittwe-junta-and-arakan-army-exchange-heavy-artillery-and-drone-strikes
22,2026-09-03,Thandwe,artillery,UNCLEAR,UNCLEAR,UNCLEAR,incident,junta warships shelled coastal areas in Gwa and Thandwe townships,Development Media Group,https://www.bnionline.net/en/news/fighting-resumes-sittwe-junta-and-arakan-army-exchange-heavy-artillery-and-drone-strikes
23,2026-09-05,Mon State,displacement,UNCLEAR,UNCLEAR,299729,period_summary,"more than 299,729 people displaced in Mon State",Network Media Group,https://www.bnionline.net/en/news/displacement-exceeds-16-million-southeastern-myanmar-aid-groups-face-mounting-hurdles
23,2026-09-05,Mon State,displacement,UNCLEAR,UNCLEAR,1200,incident,"additional 1,200 in Mon",Network Media Group,https://www.bnionline.net/en/news/displacement-exceeds-16-million-southeastern-myanmar-aid-groups-face-mounting-hurdles
23,2026-09-05,Karen State,displacement,UNCLEAR,UNCLEAR,799700,period_summary,"over 799,700 in Karen State",Network Media Group,https://www.bnionline.net/en/news/displacement-exceeds-16-million-southeastern-myanmar-aid-groups-face-mounting-hurdles
23,2026-09-05,Karen State,displacement,UNCLEAR,UNCLEAR,2500,incident,"additional 2,500 displaced people in Karen",Network Media Group,https://www.bnionline.net/en/news/displacement-exceeds-16-million-southeastern-myanmar-aid-groups-face-mounting-hurdles
23,2026-09-05,Tanintharyi Region,displacement,UNCLEAR,UNCLEAR,516240,period_summary,"upwards of 516,240 in Tanintharyi Region",Network Media Group,https://www.bnionline.net/en/news/displacement-exceeds-16-million-southeastern-myanmar-aid-groups-face-mounting-hurdles
23,2026-09-05,Tanintharyi Region,displacement,UNCLEAR,UNCLEAR,2100,incident,"additional 2,100 in Tanintharyi",Network Media Group,https://www.bnionline.net/en/news/displacement-exceeds-16-million-southeastern-myanmar-aid-groups-face-mounting-hurdles
24,2026-09-05,Anjanapura,other,9,UNCLEAR,UNCLEAR,period_summary,nine residents from Anjanapura and Myebon townships,Development Media Group,https://www.bnionline.net/en/news/death-toll-arakan-state-boat-capsizes-reaches-30-during-monsoon-season
24,2026-09-05,Myebon,other,9,UNCLEAR,UNCLEAR,period_summary,nine residents from Anjanapura and Myebon townships,Development Media Group,https://www.bnionline.net/en/news/death-toll-arakan-state-boat-capsizes-reaches-30-during-monsoon-season
24,2026-09-05,Rathedaung,other,12,UNCLEAR,UNCLEAR,period_summary,12 from Rathedaung Township,Development Media Group,https://www.bnionline.net/en/news/death-toll-arakan-state-boat-capsizes-reaches-30-during-monsoon-season
24,2026-09-05,Taungup,other,9,UNCLEAR,UNCLEAR,period_summary,nine from Taungup Township,Development Media Group,https://www.bnionline.net/en/news/death-toll-arakan-state-boat-capsizes-reaches-30-during-monsoon-season
24,2026-08-30,Rathedaung,other,1,UNCLEAR,UNCLEAR,incident,"Nine passengers were rescued, but a schoolteacher drowned.",Development Media Group,https://www.bnionline.net/en/news/death-toll-arakan-state-boat-capsizes-reaches-30-during-monsoon-season
25,2026-09-04,Kyauktaw,other,0,0,0,incident,"approximately 100 youth participants including Arakanese, Mro, Chakma, Khami, Muslim, and Hindu representatives assembled in Kyauktaw Township",Development Media Group,https://www.bnionline.net/en/news/youth-led-initiatives-drive-inter-community-cohesion-and-trust-arakan-state
26,2026-09-02,Shwegu,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,KIA and allied resistance forces ambushed the 15-vessel regime convoy ... approximately 190 individuals were captured,Kachin News Group,https://www.bnionline.net/en/news/kio-questions-nearly-200-pows-captured-riverine-ambush-near-shwegu
27,2026-09-04,UNCLEAR,conscription,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,"each intake drafting approximately 5,000 recruits",Than Lwin Times,https://www.bnionline.net/en/news/myanmar-junta-touts-post-service-employment-conscripts-amid-widespread-skepticism
28,2026-08-30,Shwegu,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,KIA and KPDF units overran a temporary junta security post near Zinbon Village,Network Media Group,https://www.bnionline.net/en/news/seven-junta-vessels-reach-bhamo-fuel-and-reinforcements-after-loosing-eight-vessels
28,2026-09-03,Bhamo,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,seven vessels from a junta naval flotilla ... successfully reached Bhamo,Network Media Group,https://www.bnionline.net/en/news/seven-junta-vessels-reach-bhamo-fuel-and-reinforcements-after-loosing-eight-vessels
29,2026-09-04,Mawlamyine,other,0,0,0,incident,consultations across all village tracts in Mawlamyine Township,Independent Mon News Agency,https://www.bnionline.net/en/news/mon-state-prepares-expand-ethnic-language-instruction-grades-4-and-5
30,2026-09-03,Hpapun,other,0,0,0,incident,10 of the newly designated 33 'Kaw' territories are located within the Salween Peace Park zone in Mutraw (Hpapun) District,Karen Information Center,https://www.bnionline.net/en/news/knu-signs-designation-33-kaw-territories-covering-nearly-400000-acres
30,2026-09-03,Taungoo,other,0,0,0,incident,the remaining 23 are in the Thawthi Taw-oo Indigenous Park area in Tawoo (Taungoo) District,Karen Information Center,https://www.bnionline.net/en/news/knu-signs-designation-33-kaw-territories-covering-nearly-400000-acres
31,2026-09-06,Paletwa,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Indigenous Khumi Chin leaders and civil society groups have strongly opposed the Arakan Army's implementation of an Arakan-language curriculum,Chin World,https://www.bnionline.net/en/news/khumi-chin-community-opposes-aas-arakan-language-curriculum-paletwa
32,2026-09-08,Taunggyi,other,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,Fraudsters in southern Shan State's Taunggyi Township are targeting travelers to collect identity card data for telecom scam syndicates,Shan Herald Agency for News,https://www.bnionline.net/en/news/scammers-target-myanmar-travelers-shan-state-fuel-telecom-fraud-operations
32,2026-09-08,Ywangan,other,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,A resident of neighboring Ywangan Township found an account had already been fraudulently registered using his identity credentials,Shan Herald Agency for News,https://www.bnionline.net/en/news/scammers-target-myanmar-travelers-shan-state-fuel-telecom-fraud-operations
33,2026-09-05,Bhamo,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,A strategic dual-use bridge in Kachin State’s Bhamo Township was damaged in a military junta airstrike on September 5,Kachin News Group,https://www.bnionline.net/en/news/key-myanmar-bridge-damaged-junta-airstrike-amid-heavy-fighting-near-bhamo
34,2026-09-04,Kalay,displacement,UNCLEAR,UNCLEAR,UNCLEAR,incident,forcing hundreds of residents and internally displaced persons (IDPs) to flee to emergency shelters,Mizzima,https://www.bnionline.net/en/news/heavy-rains-trigger-widespread-floods-kalay-near-indian-border-thousands-evacuated
34,2026-09-04,UNCLEAR,displacement,32,UNCLEAR,620000,period_summary,"impacted nearly 620,000 people across 25 townships... leaving at least 32 people dead",Mizzima,https://www.bnionline.net/en/news/heavy-rains-trigger-widespread-floods-kalay-near-indian-border-thousands-evacuated
35,2026-09-04,Werathani,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,statutory rape of a minor in Werathani Township,Development Media Group,https://www.bnionline.net/en/news/arakan-state-law-enforcement-faces-backlash-over-unresolved-rape-cases
35,2026-09-04,Thandwe,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,sexual assault of a woman with disabilities in Thandwe Township,Development Media Group,https://www.bnionline.net/en/news/arakan-state-law-enforcement-faces-backlash-over-unresolved-rape-cases
35,2026-09-04,Paletwa,other,1,UNCLEAR,UNCLEAR,incident,fatal sexual assault in Paletwa Township,Development Media Group,https://www.bnionline.net/en/news/arakan-state-law-enforcement-faces-backlash-over-unresolved-rape-cases
36,2026-09-02,Bhamo,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,"A junta river vessel carrying military personnel, police, civil servants, and families surrendered to the KIA after coming under heavy attack along the Ayeyarwady River on September 2",Kachin News Group,https://www.bnionline.net/en/news/junta-river-vessel-carrying-military-families-and-officials-surrenders-kia-near-bhamo
37,2026-08-29,Chaung-U,ground_clash,3,20,UNCLEAR,incident,"At least three civilians were killed, 20 others injured... during junta raid in Chaung-U",Network Media Group,https://www.bnionline.net/en/news/least-three-civilians-killed-homes-torched-during-junta-raid-chaung-u
37,2026-08-29,Chaung-U,arrest_detention,UNCLEAR,UNCLEAR,UNCLEAR,incident,around 50 residents detained after a junta column raided,Network Media Group,https://www.bnionline.net/en/news/least-three-civilians-killed-homes-torched-during-junta-raid-chaung-u
37,2026-09-03,Chaung-U,displacement,UNCLEAR,UNCLEAR,8000,incident,"displaced nearly 8,000 civilians across 15 villages in Monywa and Chaung-U townships",Network Media Group,https://www.bnionline.net/en/news/least-three-civilians-killed-homes-torched-during-junta-raid-chaung-u
38,2026-09-03,Naypyidaw,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,high-level Thai delegations held back-to-back meetings in Naypyidaw with General Ye Win Oo to curb cross-border arms trafficking,Than Lwin Times,https://www.bnionline.net/en/news/thai-myanmar-talks-gain-momentum-junta-seeks-crackdown-border-arms-flows
39,2026-08-31,Ywangan,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,fighting between Hstachan and Taungu villages in the final week of August,Shan Herald Agency for News,https://www.bnionline.net/en/news/myanmar-junta-tightens-security-and-imposes-restrictions-ywangan-following-clashes
39,2026-09-03,Ywangan,arrest_detention,UNCLEAR,UNCLEAR,UNCLEAR,incident,"arbitrary checks, arbitrary arrests, and soldiers holding local men for ransom",Shan Herald Agency for News,https://www.bnionline.net/en/news/myanmar-junta-tightens-security-and-imposes-restrictions-ywangan-following-clashes
39,2026-07-22,Thazi,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,July 22 clash along the border of Ywangan and Thazi townships... left over 20 junta troops dead or wounded,Shan Herald Agency for News,https://www.bnionline.net/en/news/myanmar-junta-tightens-security-and-imposes-restrictions-ywangan-following-clashes
40,2026-09-03,Magway,displacement,UNCLEAR,UNCLEAR,200000,period_summary,"over 200,000 displaced people in Magway Region alone",Mizzima,https://www.bnionline.net/en/news/cholera-acute-watery-diarrhea-resurface-myanmar-severe-floods-displace-470000
40,2026-09-03,UNCLEAR,displacement,UNCLEAR,UNCLEAR,470000,period_summary,"severe floods displace 470,000",Mizzima,https://www.bnionline.net/en/news/cholera-acute-watery-diarrhea-resurface-myanmar-severe-floods-displace-470000
41,2026-08-31,Padan,artillery,UNCLEAR,UNCLEAR,UNCLEAR,incident,"AA targeted junta reinforcements near Nat Yay Kan base with drones and artillery, causing heavy casualties and injuring numerous soldiers",Narinjara,https://www.bnionline.net/en/news/aa-drones-and-artillery-hit-junta-reinforcements-near-strategic-nat-yay-kan-base-causing-heavy
42,2026-09-01,Paletwa,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,"Ban on renting residential properties to foreigners, including Myanmar nationals, in bordering Lawngtlai District, affecting refugees from Paletwa",Development Media Group,https://www.bnionline.net/en/news/foreigners-banned-renting-homes-lawngtlai-district-mizoram
43,2026-08-31,Sittwe,conscription,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,"Junta forcibly recruited 3,993 individuals from Arakan between May 2025 and May 2026, aggressively conscripting youths including Muslims in Sittwe",Development Media Group,https://www.bnionline.net/en/news/war-conscription-and-unemployment-threaten-future-arakan-youth-study
43,2026-08-31,Kyaukphyu,conscription,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,Junta aggressively conscripted youths including Muslims in Kyaukphyu,Development Media Group,https://www.bnionline.net/en/news/war-conscription-and-unemployment-threaten-future-arakan-youth-study
43,2026-08-31,Thandwe,arrest_detention,UNCLEAR,UNCLEAR,UNCLEAR,period_summary,Over 80 arrested in Thandwe Township alone while attempting to flee AA-controlled territories,Development Media Group,https://www.bnionline.net/en/news/war-conscription-and-unemployment-threaten-future-arakan-youth-study
44,2026-08-30,Ann,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,Regime launched heavy aerial bombardments along the strategic corridor connecting Ann and Mindon,Narinjara,https://www.bnionline.net/en/news/fierce-fighting-erupts-between-myanmar-military-and-arakan-army-strategic-mountain-route
44,2026-08-30,Mindon,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,Regime launched heavy aerial bombardments along the strategic corridor connecting Ann and Mindon,Narinjara,https://www.bnionline.net/en/news/fierce-fighting-erupts-between-myanmar-military-and-arakan-army-strategic-mountain-route
44,2026-08-30,Saw,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,Daily fighting persists across multiple key locations including Saw Township,Narinjara,https://www.bnionline.net/en/news/fierce-fighting-erupts-between-myanmar-military-and-arakan-army-strategic-mountain-route
45,2026-09-02,UNCLEAR,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Chin State Parliament prioritized drafting and enacting a comprehensive Chinland Defence Law,Khonumthung News,https://www.bnionline.net/en/news/drafting-chinland-defence-law-emerges-top-priority-chin-state-parliament
